pmid,pub_year,journal,publication_types,has_abstract,language,title
17991235,2007,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Dental and oral trauma during childhood and adolescence in Israel: occurrence, causes, and outcomes."
17933358,2007,Odonto-stomatologie tropicale = Tropical dental journal,English Abstract|Journal Article,yes,fre,"[Dento-alveolar trauma in odonto-stomatologic consultation in a health center in Yaoundé, Cameroon]."
17846669,2007,The journal of contemporary dental practice,Journal Article,yes,eng,Risk factors for traumatic dental injuries in an adolescent male population in India.
17670881,2007,Journal of the American Dental Association (1939),Journal Article,yes,eng,The incidence and severity of dental trauma in intercollegiate athletes.
17635356,2007,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dentoalveolar trauma in Glasgow: an audit of mechanism and injury.
17511835,2007,Dental traumatology : official publication of International Association for Dental Traumatology,Comparative Study|Journal Article,yes,eng,Dental injuries in inline skating - level of information and prevention.
17227375,2007,Dental traumatology : official publication of International Association for Dental Traumatology,Evaluation Study|Journal Article,yes,eng,Effectiveness of mouthguards in reducing neurocognitive deficits following sports-related cerebral concussion.
24198704,2007,Journal of sports science & medicine,Journal Article,yes,eng,Injury profile in women shotokan karate championships in iran (2004-2005).
17194069,2006,Community dental health,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,Prevalence and factors associated with traumatic dental injuries (TDI) to anterior teeth of 11-13 year old Thai children.
17073918,2006,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dental and orofacial trauma in pony and horseback riding children.
16872385,2006,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Aetiology and rates of treatment of traumatic dental injuries among 12-year-old school children in a town in southern Brazil.
16809595,2006,American journal of public health,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,Neighborhood social capital and dental injuries in Brazilian adolescents.
16711635,2006,Journal of public health dentistry,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,Prevalence and causes of oral injuries in a population of Canadian adults aged 18 to 50 years--a brief communication.
16247261,2005,Medicine and sport science,Journal Article|Review,yes,eng,Basketball injuries.
16162986,2005,Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine,"Comparative Study|Journal Article|Multicenter Study|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",yes,eng,Comparison of mouth guard designs and concussion prevention in contact sports: a multicenter randomized controlled trial.
16060339,2005,Journal of the California Dental Association,Journal Article|Review,yes,eng,Are mouthguards necessary for basketball?
15876321,2005,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Oro-facial injuries in Central American and Caribbean sports games: a 20-year experience.
15853840,2005,Community dentistry and oral epidemiology,Journal Article,yes,eng,"Dental trauma and its association with anatomic, behavioral, and social variables among fifth and sixth grade schoolchildren in Jerusalem."
15773884,2005,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Traumatic injuries to the teeth in young individuals with cerebral palsy.
15660753,2005,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dental trauma and mouthguard usage among ice hockey players in Turkey premier league.
15659273,2005,Current sports medicine reports,Journal Article|Review,yes,eng,Dental injuries in sports.
15643760,2003,Oral health & preventive dentistry,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,Etiology of traumatic dental injuries in 11 to 13-year-old schoolchildren.
15592602,2004,Journal of athletic training,Journal Article,yes,eng,Dental Injuries in Intermediate and High School Athletes: A 15-Year Study at Punahou School.
15562160,2004,British journal of sports medicine,Journal Article,yes,eng,Perception of Nigerian athletes of the use of mouth guards to prevent the stresses of sports injury.
15362317,2004,Journal of science and medicine in sport,"Clinical Trial|Journal Article|Randomized Controlled Trial|Research Support, Non-U.S. Gov't",yes,eng,Do community football players wear allocated protective equipment? Descriptive results from a randomised controlled trial.
15206262,2004,General dentistry,Journal Article|Review,yes,eng,A literature review of sports-related orofacial trauma.
15085503,2004,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,Journal Article|Review,yes,eng,"Craniomaxillofacial trauma in children: a review of 3,385 cases with 6,060 injuries in 10 years."
15022997,2003,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Etiological factors related to dental injuries in Norwegians aged 7-18 years.
14708646,2003,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dental and oral trauma and mouthguard use during sport activities in Israel.
12656848,2003,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Traumatic dental injuries in children presenting for treatment at the Department of Pediatric Dentistry, Faculty of Dentistry, University of Jordan, 1997-2000."
12602199,2003,Schweizer Monatsschrift fur Zahnmedizin = Revue mensuelle suisse d'odonto-stomatologie = Rivista mensile svizzera di odontologia e stomatologia,Journal Article,yes,ger,[Frequency and nature of anterior tooth injuries and the use of mouth protectors in sports clubs in Bern].
12154770,2002,Dental traumatology : official publication of International Association for Dental Traumatology,Comparative Study|Journal Article,yes,eng,Dental trauma and level of information: mouthguard use in different contact sports.
12139268,2002,Australian dental journal,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,A survey of dental and oral trauma in south-east Queensland during 1998.
12116516,2002,General dentistry,Journal Article|Review,yes,eng,Dentofacial trauma in sport accidents.
12017183,2002,Journal of endodontics,Journal Article,yes,eng,Causes of dental fractures in the early permanent dentition: a retrospective study.
11880801,2002,Medicine and science in sports and exercise,Journal Article,yes,eng,Dental injuries in ice hockey games and training.
11782645,2002,Medicine and science in sports and exercise,Comparative Study|Journal Article,yes,eng,Effect of mouthguards on dental injuries and concussions in college basketball.
11766091,2001,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,A retrospective study of traumatic dental injuries in a Brazilian dental trauma clinic.
11678540,2001,Dental traumatology : official publication of International Association for Dental Traumatology,"Journal Article|Research Support, Non-U.S. Gov't",yes,eng,"Prevalence, causes and correlates of traumatic dental injuries among 13-year-olds in Brazil."
11678537,2001,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"A retrospective study of dento-alveolar injuries of children in Ankara, Turkey."
11499758,2001,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Dental trauma in children presenting for treatment at the Department of Dentistry for Children and Orthodontics, Budapest, 1985-1999."
11202877,2000,Endodontics & dental traumatology,Journal Article,yes,eng,The aetiology of dento-alveolar injuries and factors influencing attendance for emergency care of adolescents in the north west of England.
